Time (s),Sensor 1,Sensor 2,Sensor 3,Sensor 4
48.28290915489197,18,35,119,64
48.43391418457031,18,35,110,55
48.58488321304321,17,35,124,55
48.73595428466797,17,36,103,43
48.88681125640869,17,35,94,46
49.037684202194214,17,34,60,33
49.18859004974365,18,35,76,45
49.33981108665466,17,34,109,48
49.49062705039978,18,35,89,52
49.6415650844574,18,36,35,29
49.79253029823303,17,36,21,15
49.94362211227417,17,33,20,37
50.09445118904114,17,35,22,46
50.24542832374573,18,35,19,17
50.3963303565979,17,34,21,29
50.547213077545166,18,35,17,19
50.698233127593994,17,34,18,19
50.84915614128113,17,34,18,16
51.00005507469177,17,35,16,14
51.15111017227173,17,35,18,16
51.30203104019165,17,35,16,15
51.45280623435974,17,35,17,20
51.60391020774841,17,35,17,16
51.75472927093506,17,35,18,18
51.90553593635559,17,35,17,14
52.0566840171814,17,36,19,17
52.207611083984375,17,35,20,19
52.358490228652954,17,34,16,18
52.509751081466675,17,35,24,16
52.66043210029602,17,35,22,19
52.81114315986633,17,35,27,18
52.96227812767029,18,35,29,16
53.11316394805908,17,35,21,16
53.26412630081177,17,36,20,18
53.41526389122009,17,36,23,13
53.56558012962341,18,34,37,16
53.716883182525635,17,34,32,21
53.86797618865967,694,35,34,25
54.01852512359619,92,35,32,35
54.169760942459106,696,35,17,16
54.320937156677246,592,35,31,16
54.4718451499939,600,35,19,17
54.62287521362305,693,34,26,16
54.77367115020752,56,35,42,13
54.92501902580261,644,705,72,18
55.07606816291809,353,556,29,14
55.22684121131897,403,51,65,15
55.37817907333374,626,705,154,24
55.529139280319214,300,702,38,16
55.68026614189148,194,700,43,234
55.831117153167725,174,704,35,39
55.98241710662842,169,703,120,22
56.133427143096924,127,703,697,60
56.28439807891846,129,704,255,44
56.435625314712524,208,317,120,29
56.58653903007507,694,705,63,24
56.737733125686646,694,705,48,202
56.88866925239563,352,705,59,21
57.039610147476196,319,705,103,33
57.190606117248535,261,705,260,21
57.342146158218384,233,705,157,161
57.49310517311096,265,705,112,20
57.643963098526,582,705,127,18
57.79516911506653,477,372,99,17
57.94622611999512,696,705,83,15
58.09704804420471,288,69,91,14
58.24830722808838,131,705,354,269
